geo,name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
hti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835000,,,,,,13200,,200,1000,,,,,87000,,115,,,50,1200,,,12470,16548,185,,16109,30,9910,,540,33330,33265,,1966,2780,342,,150,
hun,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,2054,,,,,9,,,,,,,,,,,,,,,,
idn,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,11250,,,,,,,,3325,,,,845,,4710,,,,,,,,,,,,,,,,,,,,475,,,,,,,,,58290,,6435,,,,,,,,,15000,32000,3800,11000,2000,,20000,,50000,1800,2500,5500,,1000,104345,,11330,45685,18090,,2750,2700,61145,29600,,140,532898,,708365,46675,2920,,4830,10095,3845,,7250,175,8920,2235,70000,5880,70
ind,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,2000,,,,,,,,,,375000,77000,,,,,2000,,,,,,,,,352000,2000000,,,,7002000,,5432400,,10000,,,,14000,10000,450000,2850000,,,2000,2000,400000,500,120000,62500,1117285,100000,32000,,805500,252000,1792000,5200,236345,105000,464000,4150000,,2400000,4000,907000,325000,,,650200,54097,2000000,60100,223050,,
irl,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irn,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,,,375,,,,,,200,106310,15000,6500,15000,,250,2000,64000,16000,4070,6000,,4500,67130,4000,1750,,,,,3500,,,1500,12000,2000,2000,1845,3000,2000,
irq,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,600,,,2000,,,,,,,,,
isl,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,
isr,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ita,Italy,,,,,,20100,,,,,,,,,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,173500,,4000,5466,,,,,,,,30000,,,,1300000,,3000,,1650,,,,,,137000,,,5000,,,,1000,4300,,,,,,2500,,,,10300,,,38000,219,,,,9500,,,,,,,60000,,,14700,,1000,,,,,,
